CASENUM,ATTORNEY,CLMSEX,CLMINSUR,SEATBELT,CLMAGE,LOSS
10766,0,1,1,0,45,3.65
10779,1,0,1,0,7,0.03
10809,1,1,1,0,,1.4
10839,0,0,1,0,49,4.378
10840,1,1,,0,11,0.4
10918,0,0,1,1,11,0.906
10941,0,0,1,0,10,3.371
10970,0,0,1,0,30,4.37
10976,1,1,1,0,,0.75
11000,1,0,,,31,0.439
11001,1,1,1,0,4,0.135
11057,0,0,1,0,15,1
11008,0,0,1,0,84,1.43
11004,1,0,1,0,,0.138
11036,1,1,1,0,11,4.506
11059,0,1,1,0,48,7.196
11079,1,0,1,0,40,3.15
11089,0,0,1,0,11,0.646
11090,1,1,1,,35,0.87
11099,0,1,0,0,55,1.769
11186,0,1,1,0,,67.697
11308,0,0,1,0,33,1.337
11335,1,1,1,0,14,0.175
11360,1,1,1,0,7,0.431
11376,1,1,1,0,11,0.66
11446,1,1,1,0,30,0.3
11461,0,1,1,0,33,1
11537,1,0,1,0,,0.07
11581,1,0,1,0,53,3.839
11654,1,1,1,0,45,1.45
11687,0,0,1,0,33,1.985
11704,1,0,1,0,,4.434
11700,0,1,1,0,40,3.6
11718,0,1,1,0,,3.915
11730,0,1,0,0,11,7.999
11766,1,0,,,38,0.318
11796,1,0,1,0,37,8.075
11838,0,0,1,0,0,0.09
11873,0,1,0,0,3,0.051
11886,0,0,,,1,0.3
11900,0,0,0,0,,5.57
11913,1,1,1,0,6,0.886
11933,1,1,1,,53,1.675
11941,0,1,1,0,43,9.849
11949,0,1,1,0,11,4.115
11961,0,0,1,0,30,9.685
13006,1,0,1,0,77,0.05
13010,1,1,1,0,16,0.07
13069,1,1,1,0,0,0.015
13071,1,0,0,0,40,1.988
13091,1,1,0,0,9,1.431
13098,0,1,1,0,6,0.576
13000,0,0,1,0,50,1.061
13004,1,0,1,0,,0.99
13019,1,0,1,0,16,1.8
13048,0,0,1,0,16,3.74
13050,0,1,1,0,70,17.404
13080,1,1,1,0,70,4.637
13090,0,0,1,0,8,4.01
13100,0,1,0,0,10,0.709
13153,1,1,1,0,9,0.405
13179,1,,1,0,50,0.8
13308,1,0,1,0,44,3.434
13339,1,1,1,0,34,0.795
13354,1,0,1,0,,3.33
13380,0,0,1,0,,1.645
13385,0,0,1,0,39,8.815
13404,1,1,1,0,6,0.4
13430,1,1,1,0,,0.54
13470,1,1,0,0,10,1.001
13471,0,0,1,0,14,7.185
13500,0,0,1,0,34,4.5
13513,1,1,0,0,43,0.088
13514,0,0,1,0,10,1.073
13543,0,1,0,0,19,0.83
13548,1,0,1,0,56,0.647
13551,0,0,1,0,44,3.685
13559,1,1,0,0,47,0.698
13570,0,1,1,0,6,0.05
13658,0,,1,0,17,1.039
13675,0,1,1,0,10,3.049
13681,1,1,1,0,,0.5
13697,0,1,1,0,51,1.11
13748,0,1,1,0,30,1.1
13764,1,1,1,0,18,1.86
13788,1,1,1,0,7,0.379
13795,0,1,1,0,33,0.054
13801,1,1,1,0,50,5.873
13879,1,1,1,0,18,6.198
13893,1,1,0,0,46,0.075
13900,1,1,1,0,6,0.036
13911,1,0,1,0,,0.043
13933,0,0,1,0,44,0.835
13960,1,1,1,0,40,0.3
13963,1,1,1,0,10,0.405
13984,1,1,1,0,34,0.404
14061,1,1,1,0,,0.038
14090,0,1,1,0,9,0.07
14006,1,1,1,0,31,1.486
14118,1,0,1,0,53,0
14133,0,0,1,0,,6.938
14150,0,1,1,0,8,0.1
14158,1,1,1,0,,0.1
14195,0,0,1,0,54,5
14306,1,0,1,0,18,3.365
14300,1,0,1,0,,0.58
14385,0,1,1,0,60,8.68
14460,0,0,1,0,4,1.445
14487,0,1,1,0,,3.081
14510,1,0,1,0,9,0.3
14531,1,1,1,0,19,0.05
14574,1,0,1,0,10,0.059
14594,1,1,1,0,13,0.456
14671,1,1,1,0,8,1.805
14691,1,1,1,0,55,1.901
14706,1,0,1,0,,0.75
14744,0,0,1,0,34,0.495
14745,0,0,1,0,38,3.735
14750,0,1,1,0,39,0.31
14754,0,1,1,0,10,4.878
14758,0,1,1,0,40,36.147
14770,1,1,1,0,45,0.35
14771,1,1,1,0,6,0.608
14810,0,,1,0,8,1.365
14865,1,0,1,0,49,4.714
14896,1,1,1,0,,0.315
14933,0,1,0,0,,1.931
14950,0,0,1,0,15,1.465
14954,0,0,1,0,14,10.869
14959,1,0,1,0,11,0.5
14975,0,0,1,0,68,9.008
15000,0,1,1,0,40,4.108
15010,1,1,0,0,8,0.15
15060,1,1,1,0,30,0.501
15080,1,1,1,0,39,4.8
15090,0,0,1,0,8,4.996
15037,0,0,1,0,49,88.71
15045,0,1,1,0,48,6.067
15050,0,0,1,0,7,4.995
15051,1,1,1,0,6,0.757
15098,0,0,1,0,1,0.1
15104,1,0,1,0,,1
15135,1,0,1,0,51,6.001
15183,0,1,1,,19,4.009
15185,1,0,1,0,39,0.3
15378,0,0,1,0,15,6.59
15383,0,0,1,0,8,1.39
15400,1,1,1,0,39,0.784
15406,0,0,1,0,1,3.108
15407,0,1,1,0,43,8.49
15435,1,1,1,,17,1.065
15438,1,0,1,0,9,0.5
15455,1,1,1,0,30,0.631
15475,0,1,1,0,6,1.105
15506,0,0,1,0,19,3.77
15561,0,0,1,0,48,6.144
15574,1,0,0,0,,3.065
15585,1,0,1,0,,0.356
15587,1,1,1,0,15,1.09
15601,1,1,1,0,16,0.105
15606,0,1,1,0,,0.04
15659,0,1,1,0,15,1.766
15680,0,0,1,0,31,1.316
15693,0,0,1,0,7,1.095
15731,0,0,0,0,40,0.6
15760,0,1,1,0,53,0.576
15799,1,0,1,0,5,0.5
15801,1,0,1,0,63,1.985
15805,0,,1,0,0,6.3
15870,1,1,1,0,,0.184
15898,0,1,1,0,55,0.06
15901,1,1,1,0,78,0.015
16013,0,1,1,0,40,1.903
16031,1,0,1,0,7,7.18
16070,0,1,0,0,69,3.11
16080,0,1,1,0,54,7.39
16013,0,0,1,0,9,1.908
16088,1,1,1,0,11,0.986
16139,1,1,1,0,40,3.775
16147,0,1,1,0,36,4.303
16170,1,0,1,0,8,0.764
16300,1,0,1,0,34,0.801
16306,0,1,1,0,,4
16315,1,1,1,0,10,0.06
16338,0,1,1,0,38,3.406
16345,1,1,1,0,41,0.494
16347,0,1,1,0,30,0.189
16371,1,1,1,0,10,0.946
16379,1,1,1,0,30,4.488
16383,0,0,0,0,41,3.64
16451,0,0,1,0,45,8.745
16456,1,0,1,0,41,0.18
16506,1,1,1,0,8,0.59
16534,0,1,1,0,0,0.06
16546,1,0,1,0,10,0.663
16561,1,1,1,0,73,1.546
16571,1,0,1,0,74,1.064
16580,0,1,1,0,17,0.036
16603,0,1,1,0,6,0
16614,1,1,1,0,45,1.903
16676,0,0,1,0,58,0.31
16677,1,0,1,0,,0.05
16697,0,0,1,0,9,3.05
16708,0,1,1,0,48,0.87
16738,1,1,1,0,37,0.935
16748,1,1,1,0,55,0.404
16769,0,0,1,0,5,1.475
16773,1,0,1,0,10,0.069
16798,1,1,1,0,,0.05
16844,0,0,1,0,47,3.675
16869,0,0,1,0,31,1.396
16870,0,1,1,0,11,4.035
16906,0,1,1,0,58,9.485
16908,1,0,1,0,14,0.15
16909,0,1,1,0,,0.161
16989,1,0,1,0,49,0.095
17039,1,1,1,0,86,1.694
17048,0,1,1,0,19,1.985
17101,0,0,1,0,,0.974
17148,0,1,1,0,63,4.504
17160,1,1,1,0,47,0.48
17165,1,1,1,0,8,0.879
17176,1,1,1,0,15,0.055
17196,0,1,1,0,14,1.65
17303,0,1,1,1,15,96.007
17334,1,0,1,0,78,0.078
17405,0,0,1,0,34,7.364
17433,1,0,1,0,17,0.05
17470,1,0,1,0,33,0.08
17487,1,0,1,0,35,0.95
17507,1,0,1,0,59,1.675
17550,0,1,1,0,33,3.03
17560,1,0,0,0,35,0.309
17599,0,0,1,0,35,1.717
17638,0,0,1,0,7,0.64
17700,0,1,1,0,40,0.711
17704,0,0,0,0,8,1.699
17708,0,1,0,0,13,1.006
17739,1,0,1,0,56,0.036
17749,1,1,1,0,38,0.507
17786,1,1,1,0,77,1
17790,1,0,1,0,33,0.6
17798,1,1,1,0,35,1.713
17801,1,1,1,0,16,5.6
17803,0,0,0,0,36,6.106
17843,0,0,1,0,,3.3
17897,1,1,,,58,0.648
17945,0,1,1,0,3,0.346
17954,1,1,1,0,39,0.45
17960,1,1,1,0,16,5.598
18089,0,0,0,0,47,6.07
18000,0,0,1,0,45,4.075
18037,1,1,1,0,10,5.88
18048,1,1,1,0,39,1.471
18057,0,0,1,0,47,0.08
18095,0,0,1,0,50,3.095
18109,1,1,1,0,65,4.558
18110,0,0,1,0,43,3.394
18194,1,1,1,0,16,0.895
18300,0,1,1,0,43,3.8
18319,0,0,1,0,9,0.19
18330,0,0,1,0,49,3.73
18340,0,1,1,0,54,7.367
18341,0,1,1,0,46,4.01
18368,0,0,1,0,36,8.476
18455,0,0,1,0,36,4.315
18460,0,0,1,0,50,3.786
18463,1,0,1,0,54,0.748
18509,1,1,1,0,40,0.005
18511,1,1,1,0,46,3.5
18550,0,0,1,0,6,0.354
18607,1,0,1,0,,0.3
18653,0,1,0,0,11,3.37
18663,0,1,1,0,0,7.169
18737,0,0,1,0,4,0.31
18753,1,1,1,0,4,0.19
18766,0,1,1,0,14,5.83
18784,0,0,1,0,30,1.816
18790,1,1,1,0,60,0.3
18795,0,1,1,0,,1
18803,1,1,1,0,,0.5
18835,1,0,1,1,36,3.909
18861,0,0,1,0,18,6.08
18887,1,1,1,0,46,0.73
18941,1,1,1,0,37,4.609
18945,1,1,1,0,,0.08
18954,1,1,1,0,6,0.06
18984,1,1,1,0,61,1.051
18987,1,0,1,0,10,0.1
18990,0,1,1,0,30,5.595
19075,0,0,1,0,8,3.514
19033,1,1,1,0,,0.05
19061,0,1,1,0,13,4.095
19067,1,0,1,0,36,1.59
19069,1,1,1,0,57,3.915
19070,1,1,1,0,61,0.39
19087,0,0,1,0,48,0.755
19093,1,0,0,0,17,0.579
19108,0,0,1,0,10,5.057
19173,0,1,1,0,30,1
19195,0,1,1,0,,4.165
19350,1,0,1,0,44,4.569
19389,0,1,1,0,13,3.807
19395,1,1,1,0,39,4.061
19406,1,0,1,0,13,0.13
19404,0,1,1,0,46,0.507
19410,0,0,0,0,51,40.574
19440,1,1,1,0,7,3.734
19446,0,1,1,,7,0.156
19447,0,0,0,0,5,1.45
19465,0,1,1,0,54,4.097
19490,1,0,1,0,,0.15
19558,1,0,1,0,44,3.549
19560,0,1,0,1,45,3.37
19609,1,1,1,0,0,0.09
19605,0,0,1,0,37,1.951
19670,1,0,1,0,59,0.188
19683,0,0,0,0,3,0.378
19701,0,1,1,0,6,3.53
19710,1,1,1,0,5,0.155
19761,1,0,1,0,,1.34
19765,0,1,0,0,40,10.718
19790,1,0,,,11,3.318
19814,1,0,1,0,34,0.05
19837,0,0,1,0,76,0.15
19857,1,,,,,0
19884,0,1,1,0,50,1.065
19961,1,1,1,0,6,4.065
30010,0,0,,,,3.49
30017,0,1,1,0,3,0.095
30033,1,0,1,0,9,3.578
30085,1,0,1,0,13,0.746
30064,1,1,1,0,68,0.004
30163,0,0,1,0,16,1.909
30306,0,,1,0,,3.675
30357,0,0,1,0,56,15.001
30381,0,0,1,0,38,5.06
30384,1,1,1,0,13,1.6
30430,0,1,1,0,37,13.789
30436,1,0,1,0,,0.098
30448,0,0,0,0,9,3.76
30483,0,1,,,33,4.835
30490,1,0,1,0,0,0.309
30498,0,0,1,0,10,3.19
30501,1,1,1,0,34,0.674
30548,1,0,1,0,,0.04
30557,1,0,1,0,40,0.915
30588,0,1,1,0,44,13
30594,1,0,1,0,9,1.393
30634,0,0,1,0,48,3.549
30670,0,1,1,0,0,0.535
30683,0,1,1,0,5,0.17
30759,0,0,1,0,,4.03
30781,1,1,1,0,7,0.599
30790,0,0,1,0,18,1.605
30793,0,1,1,0,35,4.333
30799,0,0,1,0,76,3.756
30816,1,1,1,0,17,0.497
30900,0,1,1,0,,4.673
30908,1,0,0,0,15,1.009
30903,1,1,1,0,,0.15
30909,1,1,1,0,11,0.436
30915,1,0,1,0,38,0.8
30931,0,1,1,0,6,3.78
30948,1,1,1,0,53,0.405
30013,1,1,1,0,47,0.019
30050,0,0,1,0,40,3.59
30051,0,1,1,0,3,0.607
30063,1,1,1,0,55,3.348
30015,1,0,1,0,80,0.347
30040,1,1,1,0,9,1.747
30065,0,1,1,0,51,4.017
30108,1,1,1,0,7,0.358
30179,1,1,1,0,7,0.06
30383,0,1,1,0,11,8.641
30389,1,1,1,0,10,0.339
30408,0,1,1,0,19,5.1
30403,1,1,1,0,40,0.835
30507,1,1,1,0,30,0.39
30584,1,1,1,0,47,0.6
30675,0,1,1,0,8,1.595
30709,0,1,1,0,48,1.334
30751,1,,1,0,34,0.15
30770,0,1,1,0,33,0.706
30775,0,1,1,0,44,3.713
30783,0,0,1,0,,3.899
30806,0,0,1,0,,0.161
30816,0,0,1,0,46,1.807
30840,1,1,1,0,,0.57
30858,1,1,1,0,39,0.944
30880,1,0,1,0,,0.1
30903,1,1,0,0,49,4.491
30957,0,1,1,0,58,3.306
30961,1,1,1,0,,1.64
30976,0,1,1,0,0,0.763
30998,0,1,1,0,15,1.556
31003,0,1,1,0,70,0.095
31011,1,1,1,0,40,0.398
31016,1,1,1,0,8,0.015
31036,0,0,1,0,30,3.57
31056,0,1,0,0,31,3.343
31059,0,0,1,0,46,6.04
31075,0,1,1,0,10,1.673
31096,1,1,1,0,,0.175
31001,1,0,1,0,50,0.135
31008,1,,1,0,45,0.358
31010,1,1,1,0,8,0
31041,0,0,1,0,50,1.015
31056,0,1,1,0,,0.37
31081,0,0,,,7,1.85
31094,0,0,1,0,17,1.968
31107,0,1,1,0,0,0.3
31111,1,0,1,0,66,1.545
31118,0,0,1,0,37,4.318
31141,1,0,1,0,48,0.455
31159,0,0,1,1,30,30.64
31330,1,0,1,0,7,0.453
31350,1,1,1,0,36,6.908
31386,0,0,1,0,39,4.3
31388,1,0,1,0,0,0.44
31400,0,1,1,0,35,1.701
31480,0,0,1,0,0,0.013
31500,0,1,1,0,39,0.936
31508,1,0,1,0,36,0.507
31531,0,0,1,0,,0.565
31556,1,1,1,0,37,0.193
31581,0,1,1,0,,7.551
31590,0,0,1,0,50,1.608
31594,0,1,1,0,,3.5
31637,1,1,1,0,7,0.449
31667,0,0,1,0,40,3.735
31700,1,1,1,0,34,0.15
31739,1,1,1,0,18,0.85
31750,1,1,1,0,0,0.3
31784,1,1,1,0,5,0.19
31798,0,1,1,,50,3.3
31905,0,0,1,0,9,7.6
31944,0,1,1,0,9,6.459
31960,0,1,1,0,50,4.986
31994,0,0,1,0,36,0.465
33005,0,0,1,0,30,3.735
33033,0,1,1,0,0,0.067
33047,0,0,0,0,30,4.147
33054,1,0,1,0,8,0.485
33015,1,1,1,0,40,0.05
33037,0,1,1,1,44,55.709
33050,1,0,0,0,10,0.04
33068,1,1,1,0,4,1.165
33073,0,1,1,0,41,5.6
33085,1,0,1,1,,6.1
33144,1,1,1,0,19,1.537
33150,1,0,1,0,10,0.964
33165,1,0,1,0,40,0.749
33177,0,1,1,0,,1.041
33198,0,1,1,0,18,3.18
33307,1,0,1,0,36,4.448
33318,0,0,0,0,,3.8
33330,1,1,1,0,8,1.195
33379,1,1,1,0,19,7.393
33440,0,0,1,0,71,1.595
33450,1,1,1,0,,0.7
33455,1,1,1,0,9,0.364
33466,0,1,1,0,,3.845
33468,1,1,1,0,,0.5
33498,1,0,1,0,,0
33503,1,1,1,0,38,0.005
33553,1,1,1,0,10,0.019
33587,0,1,1,0,43,5.434
33590,0,0,1,0,30,3.034
33607,0,1,1,0,40,0.905
33614,0,0,1,0,40,5.168
33661,0,1,1,0,45,14.884
33687,1,1,1,0,7,0.986
33697,1,0,1,0,7,0.107
33741,0,0,1,0,8,1.105
33744,1,1,0,,10,0.158
33750,0,0,1,0,7,3.535
33759,1,1,1,0,,0.07
33778,1,0,1,0,34,0.763
33840,1,1,1,0,,0.54
33858,0,0,1,0,,3.437
33865,1,1,1,0,1,0.08
33881,0,1,1,0,9,5.46
33883,0,0,1,0,10,6.564
34000,0,1,1,0,9,3.169
34035,0,1,1,0,7,0.688
34050,0,1,1,0,70,0.505
34055,0,0,1,0,14,0.4
34085,1,1,1,0,33,0.535
34011,1,0,1,0,33,6.817
34030,0,1,1,0,3,0.95
34066,1,1,1,0,9,0
34089,1,0,1,0,49,0
34104,1,1,1,0,16,0.06
34100,1,0,1,0,,0.576
34110,0,1,1,0,46,3.705
34113,1,1,1,0,39,0.099
34145,0,1,0,0,8,3.177
34153,1,1,1,0,30,0.688
